Epoch , MSE error
1 , 2.311111111111111
2 , 1.7777777777777777
3 , 1.511111111111111
4 , 0.9777777777777777
5 , 0.9777777777777777
6 , 0.6222222222222222
7 , 0.6222222222222222
8 , 0.5333333333333333
9 , 0.35555555555555557
10 , 0.35555555555555557
11 , 0.35555555555555557
12 , 0.35555555555555557
13 , 0.35555555555555557
14 , 0.35555555555555557
15 , 0.35555555555555557
16 , 0.35555555555555557
17 , 0.35555555555555557
18 , 0.35555555555555557
19 , 0.35555555555555557
20 , 0.35555555555555557
21 , 0.35555555555555557
22 , 0.26666666666666666
23 , 0.17777777777777778
24 , 0.17777777777777778
25 , 0.17777777777777778
26 , 0.17777777777777778
27 , 0.17777777777777778
28 , 0.17777777777777778
29 , 0.17777777777777778
30 , 0.08888888888888889
31 , 0.08888888888888889
32 , 0.08888888888888889
33 , 0.08888888888888889
34 , 0.08888888888888889
35 , 0.08888888888888889
36 , 0.08888888888888889
37 , 0.08888888888888889
38 , 0.08888888888888889
39 , 0.0
